ts_utc,market_id,inplay,t_to_off,runners
2025-09-07T17:52:24.862027+00:00,1.247478336,False,-6804,6
2025-09-07T17:52:25.989731+00:00,1.247478336,False,-6805,6
2025-09-07T17:52:27.114279+00:00,1.247478336,False,-6807,6
2025-09-07T17:52:28.245263+00:00,1.247478336,False,-6808,6
2025-09-07T17:52:29.540896+00:00,1.247478336,False,-6809,6
2025-09-07T17:52:30.658135+00:00,1.247478336,False,-6810,6
2025-09-07T17:52:31.796553+00:00,1.247478336,False,-6811,6
2025-09-07T17:52:32.924574+00:00,1.247478336,False,-6812,6
2025-09-07T17:52:34.045677+00:00,1.247478336,False,-6814,6
2025-09-07T17:52:35.176433+00:00,1.247478336,False,-6815,6
2025-09-07T17:52:36.313288+00:00,1.247478336,False,-6816,6
2025-09-07T17:52:37.440038+00:00,1.247478336,False,-6817,6
2025-09-07T17:52:38.565654+00:00,1.247478336,False,-6818,6
2025-09-07T17:53:02.278652+00:00,1.247478336,False,-6842,6
2025-09-07T17:53:03.408158+00:00,1.247478336,False,-6843,6
2025-09-07T17:53:04.531832+00:00,1.247478336,False,-6844,6
2025-09-07T17:53:05.664794+00:00,1.247478336,False,-6845,6
2025-09-07T17:53:06.791355+00:00,1.247478336,False,-6846,6
2025-09-07T17:53:07.920613+00:00,1.247478336,False,-6847,6
2025-09-07T17:53:09.047463+00:00,1.247478336,False,-6849,6
2025-09-07T17:53:10.167154+00:00,1.247478336,False,-6850,6
2025-09-07T17:53:11.302934+00:00,1.247478336,False,-6851,6
2025-09-07T17:53:12.446803+00:00,1.247478336,False,-6852,6
2025-09-07T17:53:13.578980+00:00,1.247478336,False,-6853,6
2025-09-07T17:53:14.708040+00:00,1.247478336,False,-6854,6
2025-09-07T17:53:15.824162+00:00,1.247478336,False,-6855,6
2025-09-07T17:53:16.949660+00:00,1.247478336,False,-6856,6
2025-09-07T17:53:18.081150+00:00,1.247478336,False,-6858,6
2025-09-07T17:53:19.213976+00:00,1.247478336,False,-6859,6
2025-09-07T17:53:20.344474+00:00,1.247478336,False,-6860,6
2025-09-07T17:53:21.475727+00:00,1.247478336,False,-6861,6
2025-09-07T17:53:22.613947+00:00,1.247478336,False,-6862,6
2025-09-07T17:53:23.746481+00:00,1.247478336,False,-6863,6
2025-09-07T17:53:24.862181+00:00,1.247478336,False,-6864,6
2025-09-07T17:53:26.008651+00:00,1.247478336,False,-6866,6
2025-09-07T17:53:27.141337+00:00,1.247478336,False,-6867,6
2025-09-07T17:53:28.287880+00:00,1.247478336,False,-6868,6
2025-09-07T17:53:29.428799+00:00,1.247478336,False,-6869,6
2025-09-07T17:53:30.553466+00:00,1.247478336,False,-6870,6
2025-09-07T17:53:31.680314+00:00,1.247478336,False,-6871,6
2025-09-07T17:53:32.803998+00:00,1.247478336,False,-6872,6
2025-09-07T17:53:33.947228+00:00,1.247478336,False,-6873,6
2025-09-07T17:53:35.069588+00:00,1.247478336,False,-6875,6
2025-09-07T17:53:36.195211+00:00,1.247478336,False,-6876,6
2025-09-07T17:53:37.316217+00:00,1.247478336,False,-6877,6
2025-09-07T17:53:38.440510+00:00,1.247478336,False,-6878,6
2025-09-07T17:53:39.582713+00:00,1.247478336,False,-6879,6
2025-09-07T17:53:40.729640+00:00,1.247478336,False,-6880,6
2025-09-07T17:53:41.871593+00:00,1.247478336,False,-6881,6
2025-09-07T17:53:42.999644+00:00,1.247478336,False,-6882,6
2025-09-07T17:53:44.217999+00:00,1.247478336,False,-6884,6
2025-09-07T17:53:45.345446+00:00,1.247478336,False,-6885,6
2025-09-07T17:53:46.471365+00:00,1.247478336,False,-6886,6
2025-09-07T17:53:47.613458+00:00,1.247478336,False,-6887,6
2025-09-07T17:53:48.740806+00:00,1.247478336,False,-6888,6
2025-09-07T17:53:49.863636+00:00,1.247478336,False,-6889,6
2025-09-07T17:53:50.987434+00:00,1.247478336,False,-6890,6
2025-09-07T17:53:52.112841+00:00,1.247478336,False,-6892,6
2025-09-07T17:53:53.244675+00:00,1.247478336,False,-6893,6
2025-09-07T17:53:54.367015+00:00,1.247478336,False,-6894,6
2025-09-07T17:53:55.491524+00:00,1.247478336,False,-6895,6
2025-09-07T17:53:56.622734+00:00,1.247478336,False,-6896,6
2025-09-07T17:53:57.749281+00:00,1.247478336,False,-6897,6
2025-09-07T17:53:59.041886+00:00,1.247478336,False,-6899,6
2025-09-07T17:54:00.194638+00:00,1.247478336,False,-6900,6
2025-09-07T17:54:01.328139+00:00,1.247478336,False,-6901,6
2025-09-07T17:54:02.444744+00:00,1.247478336,False,-6902,6
2025-09-07T17:54:03.563322+00:00,1.247478336,False,-6903,6
2025-09-07T17:54:04.683234+00:00,1.247478336,False,-6904,6
2025-09-07T17:54:05.806145+00:00,1.247478336,False,-6905,6
2025-09-07T17:54:06.940000+00:00,1.247478336,False,-6906,6
2025-09-07T17:54:08.064341+00:00,1.247478336,False,-6908,6
2025-09-07T17:54:09.186303+00:00,1.247478336,False,-6909,6
2025-09-07T17:54:10.304635+00:00,1.247478336,False,-6910,6
2025-09-07T17:54:11.418210+00:00,1.247478336,False,-6911,6
2025-09-07T17:54:12.535736+00:00,1.247478336,False,-6912,6
2025-09-07T17:54:13.661468+00:00,1.247478336,False,-6913,6
2025-09-07T17:54:14.829840+00:00,1.247478336,False,-6914,6
2025-09-07T17:54:15.949332+00:00,1.247478336,False,-6915,6
2025-09-07T17:54:17.074959+00:00,1.247478336,False,-6917,6
2025-09-07T17:54:18.197136+00:00,1.247478336,False,-6918,6
2025-09-07T17:54:19.317012+00:00,1.247478336,False,-6919,6
2025-09-07T17:54:20.436658+00:00,1.247478336,False,-6920,6
2025-09-07T17:54:21.551756+00:00,1.247478336,False,-6921,6
2025-09-07T17:54:22.670507+00:00,1.247478336,False,-6922,6
2025-09-07T17:54:23.789234+00:00,1.247478336,False,-6923,6
2025-09-07T17:54:24.928002+00:00,1.247478336,False,-6924,6
2025-09-07T17:54:26.047634+00:00,1.247478336,False,-6926,6
2025-09-07T17:54:27.167338+00:00,1.247478336,False,-6927,6
2025-09-07T17:54:28.284449+00:00,1.247478336,False,-6928,6
2025-09-07T17:54:29.407357+00:00,1.247478336,False,-6929,6
2025-09-07T17:54:30.528017+00:00,1.247478336,False,-6930,6
2025-09-07T17:54:31.655994+00:00,1.247478336,False,-6931,6
2025-09-07T17:54:32.802351+00:00,1.247478336,False,-6932,6
2025-09-07T17:54:33.920039+00:00,1.247478336,False,-6933,6
2025-09-07T17:54:35.040033+00:00,1.247478336,False,-6935,6
2025-09-07T17:54:36.175321+00:00,1.247478336,False,-6936,6
2025-09-07T17:54:37.300580+00:00,1.247478336,False,-6937,6
2025-09-07T17:54:38.437215+00:00,1.247478336,False,-6938,6
2025-09-07T17:54:39.587642+00:00,1.247478336,False,-6939,6
2025-09-07T17:54:40.713139+00:00,1.247478336,False,-6940,6
2025-09-07T17:54:41.833928+00:00,1.247478336,False,-6941,6
2025-09-07T17:54:42.952766+00:00,1.247478336,False,-6942,6
2025-09-07T17:54:44.253125+00:00,1.247478336,False,-6944,6
2025-09-07T17:54:45.385797+00:00,1.247478336,False,-6945,6
2025-09-07T17:54:46.507177+00:00,1.247478336,False,-6946,6
2025-09-07T17:54:47.631217+00:00,1.247478336,False,-6947,6
2025-09-07T17:54:48.758605+00:00,1.247478336,False,-6948,6
2025-09-07T17:54:49.875071+00:00,1.247478336,False,-6949,6
2025-09-07T17:54:50.997283+00:00,1.247478336,False,-6950,6
2025-09-07T17:54:52.112430+00:00,1.247478336,False,-6952,6
2025-09-07T17:54:53.239246+00:00,1.247478336,False,-6953,6
2025-09-07T17:54:54.357011+00:00,1.247478336,False,-6954,6
2025-09-07T17:54:55.477695+00:00,1.247478336,False,-6955,6
2025-09-07T17:54:56.595370+00:00,1.247478336,False,-6956,6
2025-09-07T17:54:57.711407+00:00,1.247478336,False,-6957,6
2025-09-07T17:54:58.837074+00:00,1.247478336,False,-6958,6
2025-09-07T17:54:59.966550+00:00,1.247478336,False,-6959,6
2025-09-07T17:55:01.082634+00:00,1.247478336,False,-6961,6
