2025-09-07 09:47:59.182 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471396 t_to_off=None inplay=False runners=6
2025-09-07 09:47:59.182 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471526: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:47:59.182 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471526 t_to_off=None inplay=False runners=7
2025-09-07 09:47:59.182 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471725: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:47:59.182 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471725 t_to_off=None inplay=False runners=8
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471325: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471325 t_to_off=None inplay=False runners=8
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471401: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471401 t_to_off=None inplay=False runners=5
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471727: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471727 t_to_off=None inplay=False runners=6
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471833: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471833 t_to_off=None inplay=False runners=8
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471330: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471330 t_to_off=None inplay=False runners=8
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471406: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471406 t_to_off=None inplay=False runners=6
2025-09-07 09:48:00.475 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471531: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.476 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471531 t_to_off=None inplay=False runners=8
2025-09-07 09:48:00.476 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471838: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:00.476 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471838 t_to_off=None inplay=False runners=8
2025-09-07 09:48:01.780 | DEBUG    | src.dogbot.executor:run:197 - [poll] 1.247471335: get_time_to_off error: 'BetfairClient' object has no attribute 'get_time_to_off'
2025-09-07 09:48:01.781 | DEBUG    | src.dogbot.executor:run:201 - [poll] 1.247471335 t_to_off=None inplay=False runners=8
